"SourceFile","ExifToolVersion","FileName","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","JFIFVersion","ResolutionUnit","XResolution","YResolution","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","ImageSize","Megapixels","ExifByteOrder","ImageDescription","Make","Model","Orientation","Software","ModifyDate","YCbCrPositioning","ExposureTime","FNumber","ExposureProgram","ISO","ExifVersion","DateTimeOriginal","CreateDate","ComponentsConfiguration","ExposureCompensation","MeteringMode","LightSource","Flash","FocalLength","SubSecTime","SubSecTimeOriginal","SubSecTimeDigitized","FlashpixVersion","ColorSpace","ExifImageWidth","ExifImageHeight","InteropIndex","InteropVersion","ExposureMode","WhiteBalance","DigitalZoomRatio","FocalLengthIn35mmFormat","SceneCaptureType","Compression","ThumbnailOffset","ThumbnailLength","Aperture","ScaleFactor35efl","ShutterSpeed","SubSecCreateDate","SubSecDateTimeOriginal","SubSecModifyDate","ThumbnailImage","CircleOfConfusion","FOV","FocalLength35efl","HyperfocalDistance","LightValue","OffsetTimeOriginal","ShutterSpeedValue","ApertureValue","BrightnessValue","MaxApertureValue","MakerNoteUnknownText","Warning","UserComment","SensingMethod","SceneType","LensModel","ProfileCMMType","ProfileVersion","ProfileClass","ColorSpaceData","ProfileConnectionSpace","ProfileDateTime","ProfileFileSignature","PrimaryPlatform","CMMFlags","DeviceManufacturer","DeviceModel","DeviceAttributes","RenderingIntent","ConnectionSpaceIlluminant","ProfileCreator","ProfileID","ProfileDescription","ProfileCopyright","MediaWhitePoint","RedMatrixColumn","GreenMatrixColumn","BlueMatrixColumn","RedTRC","ChromaticAdaptation","BlueTRC","GreenTRC","LensID","About","CreatorTool","Comment"
"E:/Mobile Images data/Image(349).jpg",12.22,"Image(349).jpg","E:/Mobile Images data",191772,"2024:10:30 18:44:13+05:30","2024:12:07 00:30:03+05:30","2024:12:07 00:30:03+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,1152,864,0,8,3,"2 1","1152 864",0.995328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0000.jpg",12.22,"IMG-20240714-WA0000.jpg","E:/Mobile Images data",69529,"2024:07:14 20:29:37+05:30","2024:12:07 00:01:43+05:30","2024:12:07 00:01:43+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,1152,520,2,8,3,"2 2","1152 520",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0001.jpg",12.22,"IMG-20240714-WA0001.jpg","E:/Mobile Images data",84134,"2024:07:14 20:29:38+05:30","2024:12:07 00:01:43+05:30","2024:12:07 00:01:43+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,1152,520,2,8,3,"2 2","1152 520",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0002.jpg",12.22,"IMG-20240714-WA0002.jpg","E:/Mobile Images data",76332,"2024:07:14 20:29:39+05:30","2024:12:07 00:01:43+05:30","2024:12:07 00:01:43+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,1152,520,2,8,3,"2 2","1152 520",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0003.jpg",12.22,"IMG-20240714-WA0003.jpg","E:/Mobile Images data",70882,"2024:07:14 20:29:39+05:30","2024:12:07 00:01:43+05:30","2024:12:07 00:01:43+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,520,1152,2,8,3,"2 2","520 1152",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0004.jpg",12.22,"IMG-20240714-WA0004.jpg","E:/Mobile Images data",57553,"2024:07:14 20:29:40+05:30","2024:12:07 00:01:43+05:30","2024:12:07 00:01:43+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,520,1152,2,8,3,"2 2","520 1152",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0005.jpg",12.22,"IMG-20240714-WA0005.jpg","E:/Mobile Images data",68902,"2024:07:14 20:29:41+05:30","2024:12:07 00:01:44+05:30","2024:12:07 00:01:44+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,520,1152,2,8,3,"2 2","520 1152",0.59904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0006.jpg",12.22,"IMG-20240714-WA0006.jpg","E:/Mobile Images data",93833,"2024:07:14 20:29:42+05:30","2024:12:07 00:01:44+05:30","2024:12:07 00:01:44+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,864,1152,2,8,3,"2 2","864 1152",0.995328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0007.jpg",12.22,"IMG-20240714-WA0007.jpg","E:/Mobile Images data",137918,"2024:07:14 20:29:44+05:30","2024:12:07 00:01:44+05:30","2024:12:07 00:01:44+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,864,1152,2,8,3,"2 2","864 1152",0.995328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:/Mobile Images data/IMG-20240714-WA0008.jpg",12.22,"IMG-20240714-WA0008.jpg","E:/Mobile Images data",161403,"2024:07:14 20:29:46+05:30","2024:12:07 00:01:44+05:30","2024:12:07 00:01:44+05:30",100666,"JPEG","JPG","image/jpeg","1 1",0,1,1,864,1152,2,8,3,"2 2","864 1152",0.995328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
